name,personality,description
Kakeru Shiwasu,"Lively, Prideful","A cheerful labor (part-time job) boy, Kakeru is lively, works with all his might with little complaint, is rarely discouraged and does not like to lose. Despite his unlucky constitution, he starts his day in high-spirits and top-form. He is the type who will only continue to grow as time passes. Together with this, Kakeru carries a strong sense of pride and believes in self-reliance, as shown by how he chose to work part-time to support himself instead of relying on the allowance his parents were giving him, since it was his choice to move out of his home.  Kakeru also shows great love and appreciation for food, in part due to him living on his own prior to moving into the dorms, as well as being in a stage of rapid growth and metabolism. However, he isn't selfish and is more than willing to share with others, and is also aware of how he should watch his calorie intake. Kakeru does feel uncomfortable when it comes to his height sometimes, especially due to him now being the shortest among the two groups. At some times, he feels as if his height makes him seem like a person isn't very dependable, and, while he doesn't dislike it, he gets treated like a child."
Rui Minaduki,"Innocent, Naive","Rui comes off as innocent and naive, to the point that Shimotsuki Shun has (somewhat negatively) influenced his way of thinking. However, he can also do rather unexpected things whilst maintaining a straight face. He possesses a unique worldview, which makes him nonreactive to things such as scary stories."
Matsuri Motomiya,"Inquisitive, Enthusiastic","Matsuri likes festivals, befitting her name. She's a genius who loves doing experiments and invent things. She's the type who doesn't pay attention to her surroundings once she's focused on something. She feels hungry easily, so she keeps her tension low and preserves her energy by not talking too much, but apparently when it comes to a topic that interests her, she'll get very excited."
Sisilia,"motivated, carefree","A member of the Ptolemaic Army, Sisilia uses her signature trumpet to motivate her fellow comrades to victory. Veronica seems to have influenced her decision into joining the Army, though she doesn't feel guilty about it.

She rides alongside her comrades on the battlefield on her bike. It is assumed that she is not old enough to use a motorcycle. Like Rumi and Madoka, Sisilia is a supply officer rather than a front-line combatant. If the battlefield becomes too dangerous for her, she will run away."
Vita,"brave, melancholic","""Female soldier that lost all her friends in a past war and suffers from a wound that will not heal. She wanders through battlefields to offer flowers in memory of her friends that meaninglessly gave their lives."
Midori Anzai,"Nurturing, Professional","Midori Anzai (安斎 緑 Anzai Midori?) is the human mother of Yuuki Anzai whom she had with her devil lover, Tamaki Anzai. She works at ONL as a devil researcher in which she goes under her maiden name Midori Sako (佐古 緑 Sako Midori?). Midori is a middle-aged woman with a slim build and a few age marks. She has dark hair (presumably black) which is wavy and falls down to below her shoulders with her bangs parted at the middle and strands framing her face. She has two moles on her face; one under her eye and another one on her cheek. Her son Yuuki is also noted to be very similar to Midori, as he inherited her smile, messy black hair and even the birthmarks (moles). She is often seen dressing professionally; wearing a blouse with a white lab coat overlying it, and heels.

In the past, she had short hair, which was about nape-length with bangs covering her forehead."
Mayu Sumimori,"Insecure, Self-conscious","Mayu Sumimori (住森 麻夕 Sumimori Mayu?) was in charge of the accounting and intelligence gathering for the CCC, in which she went under the code name Eleven (イレブン Irebun?). However, she's not good at detailed work and often makes mistakes, and was later left to be killed by the organization, but she survived and was saved by the Public Safety Division's F Squad.

She used to have a thing for Kirio Kikuhara (Zero Two), but her feelings for him have died down after Plan B didn't go smoothly. Now, it's Takeshi Makimura (Zero Six) who's on her mind.

She comes from a wealthy family who had connections to the CCC. She has an inferiority complex due to having beautiful parents and sisters, and she doesn't feel as pretty as her name sounds. Mayu is a young woman with a light and fair complexion. She has straight dyed light-blue hair, which is nape-length with middle-parted bangs. She has light colored eyes and wears makeup. After some events, Mayu gains weight and develops a fuller figure and plumper lips. She occasionally has her hair tied into a ponytail with her bangs held back by two hairclips at each side, in which her hair has grown longer. She has inherited most of her father's appearance, and is noted to have looked exactly like him before he had plastic surgery. Mayu also doesn't feel beautiful and is planning to get plastic surgery as well."
Yuuko Tamaru,"Kind, Sensitive","Yuuko Tamaru (田丸 裕子 Tamaru Yūko?), née Yano (矢野?) is a childhood friend of Yuuki Anzai. She grew up with him in the same ONLO orphanage and used to have a bit of a crush on him. But after graduating from ONLO, she fell in love with and married a human named Makoto Tamaru. They had been living together for awhile, but after accidentally drinking his blood and losing control, she unconsciously stabbed him and she was chased down by Division 5 of the Public Safety Department. She was later arrested for assault, but her husband forgave Yuuko and showed great concern for her, and promised to be more careful. Yuuko is a petite woman with a slim build noted to be beautiful. She has medium-colored eyes that she wears oval-shaped glasses over, and she has dark circles under her eyes due to being a devil. Her shoulder-length hair is straight and her bangs middle parted; with two strands of hair framing her face. Like any other devil, Yuuko will transform into a devil at the sight of blood. Her eyes will start to turn red, her irises will turn yellow and veins will appear around her eyes. Her teeth will sharpen into fangs and her nails will turn into claws. Yuuki has always been a very kind woman, and as a child she was quite meek and shy. She is also quiet and sensitive, and due to her gentleness, she was able to get married despite being a devil. But is stated that, despite her gentle nature, it didn't make her ""any less of a devil"". She loves her husband dearly, which is why she was very self-conscious about the fact that she was a devil and tried her best not to let him get hurt. She showed great guilt and sadness for hurting her husband."
Sayuri Tenjo,"Strong, Protective","Sayuri Tenjo (天城さゆり Tenjō Sayuri?) is the mother of Nanako Tenjo. She was still mourning the loss of her husband when she met Kenichi Morisawa, and even though he was a devil, but they became lovers. When she felt that he was going to suck Nanako's blood, she took up a gun. In the end, she was shot with that gun by Morisawa and died of blood loss after he drank from her."
Miwako Toda,"Caring, Inquisitive","Miwako Toda (戸田 ミワコ Toda Miwako?) is a first-year graduate student at Keio University where she's studying Humanities and Geography alongside her best friend Tsukasa Taira. She did a gap year, so she is a year older than Tsukasa.

Miwako is a good friend who always looks out for Tsukasa, and she is certainly worried that Tsukasa is dating a devil.

From the news to weekly magazines and even the internet, she likes learning about a wide range of events happening in the world. She is now interested in becoming a reporter."
